Provider_ID,VHA Facility,Address,City,State,Zip Code,County,County Code,Measure ID,Technical Measure Title,Measure as Posted on Hospital Compare,95% Confidence Lower Limit,95% Confidence Lower Upper Limit,Risk Adjusted Rate,VHA National Rate,Hospital Rating,Number Observations,Number Deaths/Readmissions,Footnotes,Date Range
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,500,VA-MORT-30-HF,VA 30-day Death Rates Congestive Heart Failure(CHF),Death rate for heart failure patients,4.81,10.38,7.15,7.72,No different than the VHA National Rate,85,4,,October 2012 – September 2015
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,500,VA-MORT-30-PN,VA 30-day Death Rates Pneumonia(PN),Death rate for pneumonia patients,7.78,14.21,10.37,8.64,No different than the VHA National Rate,103,16,,October 2012 – September 2015
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,500,VA-READM-30-AMI,VA 30-day Readmission Rates Acute Myocardial Infarction(AMI),Rate of readmission for heart attack patients,*,*,*,15.57,Number of Cases Too Small,4,0,*Rates not reported for Observations < 25,October 2012 – September 2015
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,500,VA-READM-30-COPD,VA 30-day Readmission Rates Chronic Obstructive Pulmonary Disease(COPD),Rate of readmission for chronic obstructive pulmonary disease patients,10.67,18.57,14.37,16.28,No different than the VHA National Rate,77,7,,October 2012 – September 2015
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,500,VA-READM-30-HF,VA 30-day Readmission Rates Congestive Heart Failure(CHF),Rate of readmission for heart failure patients,15.66,23.07,19.24,19.34,No different than the VHA National Rate,87,15,,October 2012 – September 2015
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTGOMERY,215 PERRY HILL ROAD,MONTGOMERY,AL,36109,MONTGOMERY,500,VA-READM-30-PN,VA 30-day Readmission Rates Pneumonia(PN),Rate of readmission for pneumonia patients,10.98,16.76,13.87,14.74,No different than the VHA National Rate,94,8,,October 2012 – September 2015
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,620,VA-MORT-30-AMI,VA 30-day Death Rates Acute Myocardial Infarction(AMI),Death rate for heart attack patients,X,X,X,9.21,Not Available,X,X,X Not Available,October 2012 - September 2015
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,620,VA-MORT-30-COPD,VA 30-day Death Rates Chronic Obstructive Pulmonary Disease(COPD),Death rate for chronic obstructive pulmonary disease patients,X,X,X,5.99,Not Available,X,X,X Not Available,October 2012 - September 2015
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,620,VA-MORT-30-HF,VA 30-day Death Rates Congestive Heart Failure(CHF),Death rate for heart failure patients,X,X,X,7.72,Not Available,X,X,X Not Available,October 2012 - September 2015
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,620,VA-MORT-30-PN,VA 30-day Death Rates Pneumonia(PN),Death rate for pneumonia patients,X,X,X,8.64,Not Available,X,X,X Not Available,October 2012 - September 2015
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,620,VA-READM-30-AMI,VA 30-day Readmission Rates Acute Myocardial Infarction(AMI),Rate of readmission for heart attack patients,X,X,X,15.57,Not Available,X,X,X Not Available,October 2012 - September 2015
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,620,VA-READM-30-COPD,VA 30-day Readmission Rates Chronic Obstructive Pulmonary Disease(COPD),Rate of readmission for chronic obstructive pulmonary disease patients,X,X,X,16.28,Not Available,X,X,X Not Available,October 2012 - September 2015
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,620,VA-READM-30-HF,VA 30-day Readmission Rates Congestive Heart Failure(CHF),Rate of readmission for heart failure patients,X,X,X,19.34,Not Available,X,X,X Not Available,October 2012 - September 2015
01021F,TUSCALOOSA VA MEDICAL CENTER,"3701 LOOP ROAD, EAST",TUSCALOOSA,AL,35404,TUSCALOOSA,620,VA-READM-30-PN,VA 30-day Readmission Rates Pneumonia(PN),Rate of readmission for pneumonia patients,X,X,X,14.74,Not Available,X,X,X Not Available,October 2012 - September 2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,60,VA-MORT-30-AMI,VA 30-day Death Rates Acute Myocardial Infarction(AMI),Death rate for heart attack patients,6.11,11.49,8.54,9.21,No different than the VHA National Rate,112,6,,October 2012 – September 2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,60,VA-MORT-30-COPD,VA 30-day Death Rates Chronic Obstructive Pulmonary Disease(COPD),Death rate for chronic obstructive pulmonary disease patients,3.84,8.34,5.68,5.99,No different than the VHA National Rate,304,14,,October 2012 – September 2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,60,VA-MORT-30-HF,VA 30-day Death Rates Congestive Heart Failure(CHF),Death rate for heart failure patients,7.3,12.45,9.64,7.72,No different than the VHA National Rate,355,36,,October 2012 – September 2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,60,VA-MORT-30-PN,VA 30-day Death Rates Pneumonia(PN),Death rate for pneumonia patients,8.01,13.41,10.49,8.64,No different than the VHA National Rate,268,29,,October 2012 – September 2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,60,VA-READM-30-AMI,VA 30-day Readmission Rates Acute Myocardial Infarction(AMI),Rate of readmission for heart attack patients,13.42,19.32,15.94,15.57,No different than the VHA National Rate,81,16,,October 2012 – September 2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,60,VA-READM-30-COPD,VA 30-day Readmission Rates Chronic Obstructive Pulmonary Disease(COPD),Rate of readmission for chronic obstructive pulmonary disease patients,15.53,23.3,19.09,16.28,No different than the VHA National Rate,299,58,,October 2012 – September 2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,60,VA-READM-30-HF,VA 30-day Readmission Rates Congestive Heart Failure(CHF),Rate of readmission for heart failure patients,17.74,23.77,20.56,19.34,No different than the VHA National Rate,413,89,,October 2012 – September 2015
03012F,PHOENIX VA MEDICAL CENTER,650 E. INDIAN SCHOOL ROAD,PHOENIX,AZ,85012,MARICOPA,60,VA-READM-30-PN,VA 30-day Readmission Rates Pneumonia(PN),Rate of readmission for pneumonia patients,12.66,18.01,15.21,14.74,No different than the VHA National Rate,292,46,,October 2012 – September 2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,90,VA-MORT-30-AMI,VA 30-day Death Rates Acute Myocardial Infarction(AMI),Death rate for heart attack patients,7.93,12.65,10.07,9.21,No different than the VHA National Rate,240,26,,October 2012 – September 2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,90,VA-MORT-30-COPD,VA 30-day Death Rates Chronic Obstructive Pulmonary Disease(COPD),Death rate for chronic obstructive pulmonary disease patients,5.2,9.46,6.86,5.99,No different than the VHA National Rate,340,30,,October 2012 – September 2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,90,VA-MORT-30-HF,VA 30-day Death Rates Congestive Heart Failure(CHF),Death rate for heart failure patients,6.77,11.26,8.61,7.72,No different than the VHA National Rate,448,40,,October 2012 – September 2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,90,VA-MORT-30-PN,VA 30-day Death Rates Pneumonia(PN),Death rate for pneumonia patients,7.14,11.3,8.89,8.64,No different than the VHA National Rate,394,34,,October 2012 – September 2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,90,VA-READM-30-AMI,VA 30-day Readmission Rates Acute Myocardial Infarction(AMI),Rate of readmission for heart attack patients,12.53,17.47,14.89,15.57,No different than the VHA National Rate,226,29,,October 2012 – September 2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,90,VA-READM-30-COPD,VA 30-day Readmission Rates Chronic Obstructive Pulmonary Disease(COPD),Rate of readmission for chronic obstructive pulmonary disease patients,13.16,19.79,16.05,16.28,No different than the VHA National Rate,358,58,,October 2012 – September 2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,90,VA-READM-30-HF,VA 30-day Readmission Rates Congestive Heart Failure(CHF),Rate of readmission for heart failure patients,16.2,21.8,18.64,19.34,No different than the VHA National Rate,471,81,,October 2012 – September 2015
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,90,VA-READM-30-PN,VA 30-day Readmission Rates Pneumonia(PN),Rate of readmission for pneumonia patients,14.03,19.78,16.51,14.74,No different than the VHA National Rate,398,72,,October 2012 – September 2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,120,VA-MORT-30-AMI,VA 30-day Death Rates Acute Myocardial Infarction(AMI),Death rate for heart attack patients,*,*,*,9.21,Number of Cases Too Small,1,0,*Rates not reported for Observations < 25,October 2012 – September 2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,120,VA-MORT-30-COPD,VA 30-day Death Rates Chronic Obstructive Pulmonary Disease(COPD),Death rate for chronic obstructive pulmonary disease patients,2.95,7.69,4.78,5.99,No different than the VHA National Rate,154,4,,October 2012 – September 2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,120,VA-MORT-30-HF,VA 30-day Death Rates Congestive Heart Failure(CHF),Death rate for heart failure patients,5.85,12.38,8.59,7.72,No different than the VHA National Rate,72,9,,October 2012 – September 2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,120,VA-MORT-30-PN,VA 30-day Death Rates Pneumonia(PN),Death rate for pneumonia patients,6.96,12,9.2,8.64,No different than the VHA National Rate,242,21,,October 2012 – September 2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,120,VA-READM-30-AMI,VA 30-day Readmission Rates Acute Myocardial Infarction(AMI),Rate of readmission for heart attack patients,*,*,*,15.57,Number of Cases Too Small,1,0,*Rates not reported for Observations < 25,October 2012 – September 2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,120,VA-READM-30-COPD,VA 30-day Readmission Rates Chronic Obstructive Pulmonary Disease(COPD),Rate of readmission for chronic obstructive pulmonary disease patients,10.05,16.9,13.2,16.28,No different than the VHA National Rate,160,14,,October 2012 – September 2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,120,VA-READM-30-HF,VA 30-day Readmission Rates Congestive Heart Failure(CHF),Rate of readmission for heart failure patients,14.66,21.77,18.1,19.34,No different than the VHA National Rate,75,9,,October 2012 – September 2015
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,120,VA-READM-30-PN,VA 30-day Readmission Rates Pneumonia(PN),Rate of readmission for pneumonia patients,11.18,16.28,13.71,14.74,No different than the VHA National Rate,236,25,,October 2012 – September 2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,710,VA-MORT-30-AMI,VA 30-day Death Rates Acute Myocardial Infarction(AMI),Death rate for heart attack patients,7.19,13.59,9.71,9.21,No different than the VHA National Rate,32,5,,October 2012 – September 2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,710,VA-MORT-30-COPD,VA 30-day Death Rates Chronic Obstructive Pulmonary Disease(COPD),Death rate for chronic obstructive pulmonary disease patients,6.94,13.83,10.02,5.99,Worse than the VHA National Rate,267,25,,October 2012 – September 2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,710,VA-MORT-30-HF,VA 30-day Death Rates Congestive Heart Failure(CHF),Death rate for heart failure patients,6.73,12.42,9.05,7.72,No different than the VHA National Rate,206,21,,October 2012 – September 2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,710,VA-MORT-30-PN,VA 30-day Death Rates Pneumonia(PN),Death rate for pneumonia patients,7.14,11.32,8.83,8.64,No different than the VHA National Rate,358,28,,October 2012 – September 2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,710,VA-READM-30-AMI,VA 30-day Readmission Rates Acute Myocardial Infarction(AMI),Rate of readmission for heart attack patients,*,*,*,15.57,Number of Cases Too Small,13,3,*Rates not reported for Observations < 25,October 2012 – September 2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,710,VA-READM-30-COPD,VA 30-day Readmission Rates Chronic Obstructive Pulmonary Disease(COPD),Rate of readmission for chronic obstructive pulmonary disease patients,12.99,20.08,16.52,16.28,No different than the VHA National Rate,301,47,,October 2012 – September 2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,710,VA-READM-30-HF,VA 30-day Readmission Rates Congestive Heart Failure(CHF),Rate of readmission for heart failure patients,16.7,23.6,20.19,19.34,No different than the VHA National Rate,226,48,,October 2012 – September 2015
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,710,VA-READM-30-PN,VA 30-day Readmission Rates Pneumonia(PN),Rate of readmission for pneumonia patients,11.94,16.51,14.17,14.74,No different than the VHA National Rate,354,45,,October 2012 – September 2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,590,VA-MORT-30-AMI,VA 30-day Death Rates Acute Myocardial Infarction(AMI),Death rate for heart attack patients,8.02,13.32,10.39,9.21,No different than the VHA National Rate,201,22,,October 2012 – September 2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,590,VA-MORT-30-COPD,VA 30-day Death Rates Chronic Obstructive Pulmonary Disease(COPD),Death rate for chronic obstructive pulmonary disease patients,5.23,8.65,6.85,5.99,No different than the VHA National Rate,548,48,,October 2012 – September 2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,590,VA-MORT-30-HF,VA 30-day Death Rates Congestive Heart Failure(CHF),Death rate for heart failure patients,6.97,11.66,9.12,7.72,No different than the VHA National Rate,528,48,,October 2012 – September 2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,590,VA-MORT-30-PN,VA 30-day Death Rates Pneumonia(PN),Death rate for pneumonia patients,6.57,10.18,8.16,8.64,No different than the VHA National Rate,557,44,,October 2012 – September 2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,590,VA-READM-30-AMI,VA 30-day Readmission Rates Acute Myocardial Infarction(AMI),Rate of readmission for heart attack patients,13.71,19.15,16.04,15.57,No different than the VHA National Rate,173,29,,October 2012 – September 2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,590,VA-READM-30-COPD,VA 30-day Readmission Rates Chronic Obstructive Pulmonary Disease(COPD),Rate of readmission for chronic obstructive pulmonary disease patients,15.98,22.05,18.86,16.28,No different than the VHA National Rate,581,112,,October 2012 – September 2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,590,VA-READM-30-HF,VA 30-day Readmission Rates Congestive Heart Failure(CHF),Rate of readmission for heart failure patients,18.34,23.84,21,19.34,No different than the VHA National Rate,580,127,,October 2012 – September 2015
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,590,VA-READM-30-PN,VA 30-day Readmission Rates Pneumonia(PN),Rate of readmission for pneumonia patients,13.61,18.09,15.65,14.74,No different than the VHA National Rate,562,95,,October 2012 – September 2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,90,VA-MORT-30-AMI,VA 30-day Death Rates Acute Myocardial Infarction(AMI),Death rate for heart attack patients,7.06,12.85,9.48,9.21,No different than the VHA National Rate,131,12,,October 2012 – September 2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,90,VA-MORT-30-COPD,VA 30-day Death Rates Chronic Obstructive Pulmonary Disease(COPD),Death rate for chronic obstructive pulmonary disease patients,3.52,7.55,5.27,5.99,No different than the VHA National Rate,163,11,,October 2012 – September 2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,90,VA-MORT-30-HF,VA 30-day Death Rates Congestive Heart Failure(CHF),Death rate for heart failure patients,8.56,15.02,11.59,7.72,Worse than the VHA National Rate,289,41,,October 2012 – September 2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,90,VA-MORT-30-PN,VA 30-day Death Rates Pneumonia(PN),Death rate for pneumonia patients,7.17,12.01,9.64,8.64,No different than the VHA National Rate,190,23,,October 2012 – September 2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,90,VA-READM-30-AMI,VA 30-day Readmission Rates Acute Myocardial Infarction(AMI),Rate of readmission for heart attack patients,13.46,20.11,16.19,15.57,No different than the VHA National Rate,28,9,,October 2012 – September 2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,90,VA-READM-30-COPD,VA 30-day Readmission Rates Chronic Obstructive Pulmonary Disease(COPD),Rate of readmission for chronic obstructive pulmonary disease patients,14.39,22.52,18.13,16.28,No different than the VHA National Rate,159,31,,October 2012 – September 2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,90,VA-READM-30-HF,VA 30-day Readmission Rates Congestive Heart Failure(CHF),Rate of readmission for heart failure patients,18.42,25.51,21.45,19.34,No different than the VHA National Rate,286,64,,October 2012 – September 2015
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,90,VA-READM-30-PN,VA 30-day Readmission Rates Pneumonia(PN),Rate of readmission for pneumonia patients,11.49,16.75,13.9,14.74,No different than the VHA National Rate,181,21,,October 2012 – September 2015
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,200,VA-MORT-30-AMI,VA 30-day Death Rates Acute Myocardial Infarction(AMI),Death rate for heart attack patients,7.73,13.28,10.05,9.21,No different than the VHA National Rate,98,13,,October 2012 – September 2015
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,200,VA-MORT-30-COPD,VA 30-day Death Rates Chronic Obstructive Pulmonary Disease(COPD),Death rate for chronic obstructive pulmonary disease patients,4.21,8.21,5.95,5.99,No different than the VHA National Rate,255,18,,October 2012 – September 2015
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,200,VA-MORT-30-HF,VA 30-day Death Rates Congestive Heart Failure(CHF),Death rate for heart failure patients,4.49,8.23,6.12,7.72,No different than the VHA National Rate,404,19,,October 2012 – September 2015
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,200,VA-MORT-30-PN,VA 30-day Death Rates Pneumonia(PN),Death rate for pneumonia patients,6.52,10.59,8.59,8.64,No different than the VHA National Rate,270,23,,October 2012 – September 2015
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,200,VA-READM-30-AMI,VA 30-day Readmission Rates Acute Myocardial Infarction(AMI),Rate of readmission for heart attack patients,13.27,19.36,15.83,15.57,No different than the VHA National Rate,55,10,,October 2012 – September 2015
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,200,VA-READM-30-COPD,VA 30-day Readmission Rates Chronic Obstructive Pulmonary Disease(COPD),Rate of readmission for chronic obstructive pulmonary disease patients,13.64,20.83,16.93,16.28,No different than the VHA National Rate,268,45,,October 2012 – September 2015
