"Provider ID","Hospital name","Address","City","State","ZIP Code","County name","Phone number","Payment measure name","Payment measure ID","Payment category","Denominator","Payment","Lower estimate","Higher estimate","Payment footnote","Value of care display name","Value of care display ID","Value of care category","Value of care footnote","Measure start date","Measure end date"
"340004","HIGH POINT REGIONAL HOSPITAL","601 N ELM ST","HIGH POINT","NC","27261","GUILFORD","3368786000","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","670","$17,183","$16,431","$17,936","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340008","SCOTLAND MEMORIAL HOSPITAL","500 LAUCHWOOD DR","LAURINBURG","NC","28352","SCOTLAND","9102917000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","112","$23,027","$20,819","$25,666","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340008","SCOTLAND MEMORIAL HOSPITAL","500 LAUCHWOOD DR","LAURINBURG","NC","28352","SCOTLAND","9102917000","Payment for heart failure patients","PAYM_30_HF","Less than the National Average Payment","330","$12,714","$11,836","$13,658","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340008","SCOTLAND MEMORIAL HOSPITAL","500 LAUCHWOOD DR","LAURINBURG","NC","28352","SCOTLAND","9102917000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","188","$19,624","$18,737","$20,579","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and lower payment","","04/01/2013","03/31/2016"
"340008","SCOTLAND MEMORIAL HOSPITAL","500 LAUCHWOOD DR","LAURINBURG","NC","28352","SCOTLAND","9102917000","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","250","$15,873","$14,701","$17,046","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340010","WAYNE MEMORIAL HOSPITAL","2700 WAYNE MEMORIAL DR","GOLDSBORO","NC","27534","WAYNE","9197361110","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","128","$21,257","$19,326","$23,533","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340010","WAYNE MEMORIAL HOSPITAL","2700 WAYNE MEMORIAL DR","GOLDSBORO","NC","27534","WAYNE","9197361110","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","414","$15,423","$14,485","$16,431","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340010","WAYNE MEMORIAL HOSPITAL","2700 WAYNE MEMORIAL DR","GOLDSBORO","NC","27534","WAYNE","9197361110","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","407","$23,011","$22,229","$23,831","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340010","WAYNE MEMORIAL HOSPITAL","2700 WAYNE MEMORIAL DR","GOLDSBORO","NC","27534","WAYNE","9197361110","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","653","$16,915","$16,157","$17,685","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340013","RUTHERFORD REGIONAL MEDICAL CENTER","288 SOUTH RIDGECREST AVE","RUTHERFORDTON","NC","28139","RUTHERFORD","8282865000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","52","$22,193","$19,575","$25,171","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340013","RUTHERFORD REGIONAL MEDICAL CENTER","288 SOUTH RIDGECREST AVE","RUTHERFORDTON","NC","28139","RUTHERFORD","8282865000","Payment for heart failure patients","PAYM_30_HF","Less than the National Average Payment","215","$14,252","$13,068","$15,446","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340013","RUTHERFORD REGIONAL MEDICAL CENTER","288 SOUTH RIDGECREST AVE","RUTHERFORDTON","NC","28139","RUTHERFORD","8282865000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","134","$23,955","$22,516","$25,451","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340013","RUTHERFORD REGIONAL MEDICAL CENTER","288 SOUTH RIDGECREST AVE","RUTHERFORDTON","NC","28139","RUTHERFORD","8282865000","Payment for pneumonia patients","PAYM_30_PN","Less than the National Average Payment","299","$15,807","$14,772","$16,925","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340014","NOVANT HEALTH FORSYTH MEDICAL CENTER","3333 SILAS CREEK PARKWAY","WINSTON-SALEM","NC","27103","FORSYTH","3367185000","Payment for heart attack patients","PAYM_30_AMI","Less than the National Average Payment","479","$20,577","$19,492","$21,767","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340014","NOVANT HEALTH FORSYTH MEDICAL CENTER","3333 SILAS CREEK PARKWAY","WINSTON-SALEM","NC","27103","FORSYTH","3367185000","Payment for heart failure patients","PAYM_30_HF","Less than the National Average Payment","819","$15,276","$14,600","$16,026","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340014","NOVANT HEALTH FORSYTH MEDICAL CENTER","3333 SILAS CREEK PARKWAY","WINSTON-SALEM","NC","27103","FORSYTH","3367185000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","996","$20,602","$20,148","$21,066","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Better complications and lower payment","","04/01/2013","03/31/2016"
"340014","NOVANT HEALTH FORSYTH MEDICAL CENTER","3333 SILAS CREEK PARKWAY","WINSTON-SALEM","NC","27103","FORSYTH","3367185000","Payment for pneumonia patients","PAYM_30_PN","Less than the National Average Payment","1,385","$16,221","$15,673","$16,755","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340015","NOVANT HEALTH ROWAN MEDICAL CENTER","612 MOCKSVILLE AVE","SALISBURY","NC","28144","ROWAN","7042105000","Payment for heart attack patients","PAYM_30_AMI","Less than the National Average Payment","182","$19,248","$17,714","$20,901","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340015","NOVANT HEALTH ROWAN MEDICAL CENTER","612 MOCKSVILLE AVE","SALISBURY","NC","28144","ROWAN","7042105000","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","275","$15,231","$14,128","$16,417","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340015","NOVANT HEALTH ROWAN MEDICAL CENTER","612 MOCKSVILLE AVE","SALISBURY","NC","28144","ROWAN","7042105000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","287","$22,867","$21,927","$23,837","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340015","NOVANT HEALTH ROWAN MEDICAL CENTER","612 MOCKSVILLE AVE","SALISBURY","NC","28144","ROWAN","7042105000","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","541","$17,009","$16,092","$17,883","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Worse mortality and average payment","","07/01/2013","06/30/2016"
"340016","HARRIS REGIONAL HOSPITAL","68 HOSPITAL RD","SYLVA","NC","28779","JACKSON","8285867000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","25","$22,155","$19,338","$25,438","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340016","HARRIS REGIONAL HOSPITAL","68 HOSPITAL RD","SYLVA","NC","28779","JACKSON","8285867000","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","165","$15,233","$13,880","$16,753","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340016","HARRIS REGIONAL HOSPITAL","68 HOSPITAL RD","SYLVA","NC","28779","JACKSON","8285867000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","97","$23,446","$21,875","$25,110","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340016","HARRIS REGIONAL HOSPITAL","68 HOSPITAL RD","SYLVA","NC","28779","JACKSON","8285867000","Payment for pneumonia patients","PAYM_30_PN","Less than the National Average Payment","262","$15,339","$14,289","$16,364","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340017","MARGARET R PARDEE MEMORIAL HOSPITAL","800 N JUSTICE ST","HENDERSONVILLE","NC","28791","HENDERSON","8286961000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","130","$24,957","$22,595","$27,741","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340017","MARGARET R PARDEE MEMORIAL HOSPITAL","800 N JUSTICE ST","HENDERSONVILLE","NC","28791","HENDERSON","8286961000","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","350","$16,324","$15,204","$17,452","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340017","MARGARET R PARDEE MEMORIAL HOSPITAL","800 N JUSTICE ST","HENDERSONVILLE","NC","28791","HENDERSON","8286961000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","532","$22,007","$21,359","$22,717","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340017","MARGARET R PARDEE MEMORIAL HOSPITAL","800 N JUSTICE ST","HENDERSONVILLE","NC","28791","HENDERSON","8286961000","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","566","$17,146","$16,330","$18,005","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340020","CENTRAL CAROLINA HOSPITAL","1135 CARTHAGE ST","SANFORD","NC","27330","LEE","9197742100","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","56","$24,863","$21,963","$28,252","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340020","CENTRAL CAROLINA HOSPITAL","1135 CARTHAGE ST","SANFORD","NC","27330","LEE","9197742100","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","262","$15,148","$14,012","$16,334","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340020","CENTRAL CAROLINA HOSPITAL","1135 CARTHAGE ST","SANFORD","NC","27330","LEE","9197742100","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","35","$23,914","$21,407","$26,664","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340020","CENTRAL CAROLINA HOSPITAL","1135 CARTHAGE ST","SANFORD","NC","27330","LEE","9197742100","Payment for pneumonia patients","PAYM_30_PN","Less than the National Average Payment","305","$14,399","$13,464","$15,352","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340021","CAROLINAS HEALTHCARE SYSTEM CLEVELAND","201 E GROVER ST","SHELBY","NC","28150","CLEVELAND","7044873000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","116","$22,786","$20,593","$25,263","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340021","CAROLINAS HEALTHCARE SYSTEM CLEVELAND","201 E GROVER ST","SHELBY","NC","28150","CLEVELAND","7044873000","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","432","$16,263","$15,288","$17,308","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340021","CAROLINAS HEALTHCARE SYSTEM CLEVELAND","201 E GROVER ST","SHELBY","NC","28150","CLEVELAND","7044873000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","271","$20,032","$19,258","$20,846","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and lower payment","","04/01/2013","03/31/2016"
"340021","CAROLINAS HEALTHCARE SYSTEM CLEVELAND","201 E GROVER ST","SHELBY","NC","28150","CLEVELAND","7044873000","Payment for pneumonia patients","PAYM_30_PN","Greater than the National Average Payment","590","$18,254","$17,366","$19,177","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Worse mortality and higher payment","","07/01/2013","06/30/2016"
"340023","PARK RIDGE HEALTH","100 HOSPITAL DRIVE","HENDERSONVILLE","NC","28792","HENDERSON","8286848501","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","37","$23,424","$20,536","$26,811","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340023","PARK RIDGE HEALTH","100 HOSPITAL DRIVE","HENDERSONVILLE","NC","28792","HENDERSON","8286848501","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","130","$16,493","$14,848","$18,290","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340023","PARK RIDGE HEALTH","100 HOSPITAL DRIVE","HENDERSONVILLE","NC","28792","HENDERSON","8286848501","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","321","$22,127","$21,275","$23,004","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340023","PARK RIDGE HEALTH","100 HOSPITAL DRIVE","HENDERSONVILLE","NC","28792","HENDERSON","8286848501","Payment for pneumonia patients","PAYM_30_PN","Greater than the National Average Payment","320","$18,674","$17,445","$19,908","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and higher payment","","07/01/2013","06/30/2016"
"340024","SAMPSON REGIONAL MEDICAL CENTER","607 BEAMAN ST","CLINTON","NC","28328","SAMPSON","9105928511","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","26","$22,778","$19,823","$26,339","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340024","SAMPSON REGIONAL MEDICAL CENTER","607 BEAMAN ST","CLINTON","NC","28328","SAMPSON","9105928511","Payment for heart failure patients","PAYM_30_HF","Less than the National Average Payment","209","$14,574","$13,349","$15,867","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340024","SAMPSON REGIONAL MEDICAL CENTER","607 BEAMAN ST","CLINTON","NC","28328","SAMPSON","9105928511","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","No Different than the National Average Payment","69","$22,088","$20,416","$23,923","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and average payment","","04/01/2013","03/31/2016"
"340024","SAMPSON REGIONAL MEDICAL CENTER","607 BEAMAN ST","CLINTON","NC","28328","SAMPSON","9105928511","Payment for pneumonia patients","PAYM_30_PN","Less than the National Average Payment","330","$15,658","$14,618","$16,685","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340027","LENOIR MEMORIAL HOSPITAL","100 AIRPORT RD","KINSTON","NC","28501","LENOIR","2525227000","Payment for heart attack patients","PAYM_30_AMI","Less than the National Average Payment","174","$20,270","$18,606","$22,046","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340027","LENOIR MEMORIAL HOSPITAL","100 AIRPORT RD","KINSTON","NC","28501","LENOIR","2525227000","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","461","$15,508","$14,574","$16,486","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340027","LENOIR MEMORIAL HOSPITAL","100 AIRPORT RD","KINSTON","NC","28501","LENOIR","2525227000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Greater than the National Average Payment","88","$26,161","$24,207","$28,307","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and higher payment","","04/01/2013","03/31/2016"
"340027","LENOIR MEMORIAL HOSPITAL","100 AIRPORT RD","KINSTON","NC","28501","LENOIR","2525227000","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","464","$16,752","$15,833","$17,666","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Worse mortality and average payment","","07/01/2013","06/30/2016"
"340028","CAPE FEAR VALLEY MEDICAL CENTER","1638 OWEN DRIVE P O BOX 2000","FAYETTEVILLE","NC","28302","CUMBERLAND","9106094000","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","706","$22,160","$21,086","$23,323","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340028","CAPE FEAR VALLEY MEDICAL CENTER","1638 OWEN DRIVE P O BOX 2000","FAYETTEVILLE","NC","28302","CUMBERLAND","9106094000","Payment for heart failure patients","PAYM_30_HF","Less than the National Average Payment","938","$14,247","$13,635","$14,915","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Better mortality and lower payment","","07/01/2013","06/30/2016"
"340028","CAPE FEAR VALLEY MEDICAL CENTER","1638 OWEN DRIVE P O BOX 2000","FAYETTEVILLE","NC","28302","CUMBERLAND","9106094000","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","712","$21,707","$21,154","$22,297","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and lower payment","","04/01/2013","03/31/2016"
"340028","CAPE FEAR VALLEY MEDICAL CENTER","1638 OWEN DRIVE P O BOX 2000","FAYETTEVILLE","NC","28302","CUMBERLAND","9106094000","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","1,332","$16,721","$16,116","$17,286","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340030","DUKE UNIVERSITY HOSPITAL","PO BOX 3814 DUMC  ERWIN RD","DURHAM","NC","27710","DURHAM","9196848111","Payment for heart attack patients","PAYM_30_AMI","Less than the National Average Payment","456","$21,524","$20,282","$22,785","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and lower payment","","07/01/2013","06/30/2016"
"340030","DUKE UNIVERSITY HOSPITAL","PO BOX 3814 DUMC  ERWIN RD","DURHAM","NC","27710","DURHAM","9196848111","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","864","$15,636","$14,918","$16,402","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340030","DUKE UNIVERSITY HOSPITAL","PO BOX 3814 DUMC  ERWIN RD","DURHAM","NC","27710","DURHAM","9196848111","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","732","$21,354","$20,780","$21,896","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and lower payment","","04/01/2013","03/31/2016"
"340030","DUKE UNIVERSITY HOSPITAL","PO BOX 3814 DUMC  ERWIN RD","DURHAM","NC","27710","DURHAM","9196848111","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","531","$17,135","$16,216","$17,988","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Average mortality and average payment","","07/01/2013","06/30/2016"
"340032","CAROMONT REGIONAL MEDICAL CENTER","2525 COURT DR","GASTONIA","NC","28052","GASTON","7048344891","Payment for heart attack patients","PAYM_30_AMI","No Different than the National Average Payment","373","$23,305","$21,755","$24,860","","Value of Care Heart Attack measure","MORT_PAYM_30_AMI","Average mortality and average payment","","07/01/2013","06/30/2016"
"340032","CAROMONT REGIONAL MEDICAL CENTER","2525 COURT DR","GASTONIA","NC","28052","GASTON","7048344891","Payment for heart failure patients","PAYM_30_HF","No Different than the National Average Payment","757","$15,802","$15,051","$16,573","","Value of Care Heart Failure measure","MORT_PAYM_30_HF","Average mortality and average payment","","07/01/2013","06/30/2016"
"340032","CAROMONT REGIONAL MEDICAL CENTER","2525 COURT DR","GASTONIA","NC","28052","GASTON","7048344891","Payment for hip/knee replacement patients","PAYM_90_HIP_KNEE","Less than the National Average Payment","543","$21,247","$20,642","$21,907","","Value of Care hip/knee replacement measure","COMP_PAYM_90_HIP_KNEE","Average complications and lower payment","","04/01/2013","03/31/2016"
"340032","CAROMONT REGIONAL MEDICAL CENTER","2525 COURT DR","GASTONIA","NC","28052","GASTON","7048344891","Payment for pneumonia patients","PAYM_30_PN","No Different than the National Average Payment","1,213","$17,491","$16,885","$18,105","","Value of Care Pneumonia measure","MORT_PAYM_30_PN","Worse mortality and average payment","","07/01/2013","06/30/2016"
