"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date","Number of Hospitals Fewer","Number of Hospitals Average","Number of Hospitals More","Number of Hospitals Too Small"
"IA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","25","0","81","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"ID","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","9","0","23","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"IL","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","2","97","0","74","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"IN","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","55","0","58","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"KS","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","23","0","82","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"KY","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","39","0","52","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"LA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","40","0","47","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","2","44","0","16","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MD","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","38","0","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"ME","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","17","1","17","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MI","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","2","61","1","57","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MN","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","21","0","87","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MO","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","51","1","49","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MP","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MS","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","23","0","48","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MT","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","9","0","30","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NC","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","57","1","43","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"ND","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","7","0","25","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NE","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","18","1","49","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NH","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","12","1","13","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NJ","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","62","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NM","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","10","0","27","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NV","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","18","0","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NY","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","113","0","50","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"OH","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","90","0","58","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"OK","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","31","1","53","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"OR","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","21","1","33","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"PA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","110","0","42","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"PR","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","13","0","34","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"RI","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","9","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"SC","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","33","0","26","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"SD","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","8","0","31","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"TN","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","47","1","55","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"TX","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","1","168","0","139","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"UT","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","14","0","20","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"VA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","59","0","21","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"VI","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"VT","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","7","0","7","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WA","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","41","1","35","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WI","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","45","0","72","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WV","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","21","0","27","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WY","Acute Myocardial Infarction (AMI) 30-Day Readmission Rate","READM_30_AMI","0","4","0","18","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AK","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","9","1","13","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AL","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","78","0","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AR","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","5","60","0","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AS","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","0","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AZ","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","52","2","18","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","5","255","8","61","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CO","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","50","2","22","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CT","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","27","1","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"DC","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","7","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"DE","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","5","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"FL","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","21","152","3","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"GA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","2","101","3","28","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"GU","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","1","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"HI","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","13","0","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"IA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","87","1","28","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"ID","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","18","1","20","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"IL","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","6","159","2","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"IN","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","4","98","6","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"KS","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","74","1","52","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"KY","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","2","83","1","8","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"LA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","2","82","0","23","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","5","57","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MD","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","3","39","3","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"ME","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","32","2","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MI","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","7","104","3","13","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MN","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","74","1","53","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MO","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","4","87","3","18","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MP","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MS","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","2","74","0","17","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"MT","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","26","0","28","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NC","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","6","90","3","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"ND","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","20","1","22","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NE","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","39","2","44","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NH","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","25","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NJ","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","6","54","4","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NM","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","30","1","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NV","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","27","0","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"NY","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","19","137","0","13","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"OH","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","5","137","2","10","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"OK","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","78","2","34","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"OR","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","50","0","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"PA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","2","144","3","6","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"PR","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","24","0","24","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"RI","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","10","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"SC","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","2","48","5","7","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"SD","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","21","0","33","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"TN","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","95","1","17","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"TX","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","2","263","6","91","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"UT","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","24","2","16","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"VA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","4","71","4","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"VI","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"VT","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","13","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WA","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","67","2","18","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WI","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","107","1","12","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WV","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","1","39","0","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"WY","Heart failure (HF) 30-Day Readmission Rate","READM_30_HF","0","16","0","11","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AK","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","14","0","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AL","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","80","1","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AR","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","2","68","1","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AS","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","1","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"AZ","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","2","64","2","7","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","14","268","8","43","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CO","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","64","2","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"CT","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","27","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"DC","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","7","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"DE","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","5","1","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"FL","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","21","155","5","6","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"GA","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","3","116","1","14","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
"GU","Pneumonia (PN) 30-Day Readmission Rate","READM_30_PN","0","1","0","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016","Not Applicable","Not Applicable","Not Applicable","Not Applicable"
