"Provider ID","Hospital Name","Address","City","State","ZIP Code","County Name","Phone Number","Hospital Type","Hospital Ownership","Emergency Services","Hospital overall rating","Hospital overall rating footnote"
"09002F","WASHINGTON DC VA MEDICAL CENTER","50 IRVING STREET N.W.","WASHINGTON","DC","20422","DISTRICT OF COLUMBIA","2027458000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"14003F","JESSE BROWN VA MEDICAL CENTER - VA CHICAGO HEALTHCARE SYSTEM","820 S DAMEN STREET","CHICAGO","IL","60612","COOK","3125698387","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"14004F","VA ILLIANA HEALTHCARE SYSTEM - DANVILLE","1900 E. MAIN","DANVILLE","IL","61832","VERMILION","2175543000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"14007F","HINES VA MEDICAL CENTER","5000 SOUTH 5TH AVENUE","HINES","IL","60141","COOK","7082028387","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"14008F","MARION IL VA MEDICAL CENTER","2401 WEST MAIN","MARION","IL","62959","WILLIAMSON","6189975311","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"14034F","NORTH CHICAGO VA MEDICAL CENTER","3001 GREENBAY ROAD","NORTH CHICAGO","IL","60064","LAKE","8476881900","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"08002F","WILMINGTON VA MEDICAL CENTER","1601 KIRKWOOD HIGHWAY","WILMINGTON","DE","19805","NEW CASTLE","3029942511","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"15003F","INDIANAPOLIS VA MEDICAL CENTER","1481 W. TENTH STREET","INDIANAPOLIS","IN","46202","MARION","3175540000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"15004F","VA N. INDIANA HEALTHCARE SYSTEM - MARION","1700 E. 38TH STREET","MARION","IN","46953","GRANT","7656743321","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"16003F","VA CENTRAL IOWA HEALTHCARE SYSTEM","3600 30TH STREET","DES MOINES","IA","50310","POLK","5156995999","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"16004F","IOWA CITY VA MEDICAL CENTER","601 HIGHWAY 6 WEST","IOWA CITY","IA","52246","JOHNSON","3193380581","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"17005F","COLMERY-O'NEIL VA MEDICAL CENTER","2200 SW GAGE BOULEVARD","TOPEKA","KS","66622","SHAWNEE","9136822000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH","4101 S. 4TH STREET","LEAVENWORTH","KS","66048","LEAVENWORTH","9136822000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"17008F","WICHITA VA MEDICAL CENTER","5500 E. KELLOG","WICHITA","KS","67218","SEDGWICK","3166852221","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"07003F","WEST HAVEN VA MEDICAL CENTER","950 CAMPBELL AVENUE","WEST HAVEN","CT","06516","NEW HAVEN","2039325711","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"18007F","LEXINGTON VA MEDICAL CENTER","1101 VETERANS DRIVE","LEXINGTON","KY","40502","FAYETTE","8592334511","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"06007F","GRAND JUNCTION VA MEDICAL CENTER","2121 N. AVENUE","GRAND JUNCTION","CO","81501","MESA","9702441329","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"19048F","OVERTON BROOKS VA MEDICAL CENTER (SHREVEPORT)","510 EAST STONER AVENUE","SHREVEPORT","LA","71101","CADDO","3184246037","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"20003F","TOGUS VA MEDICAL CENTER","1 VA CENTER","AUGUSTA","ME","04330","KENNEBEC","2076238411","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"21010F","VA MARYLAND HEALTHCARE SYSTEM - PERRY POINT","VA MEDICAL CENTER","PERRY POINT","MD","21902","CECIL","4106422411","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"21020F","VA MARYLAND HEALTHCARE SYSTEM - BALTIMORE","10 NORTH GREENE STREET","BALTIMORE","MD","21201","BALTIMORE CITY","4106057016","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"22001F","BEDFORD VA MEDICAL CENTER","200 SPRINGS ROAD","BEDFORD","MA","01730","MIDDLESEX","7812757500","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"22009F","NORTHAMPTON VA MEDICAL CENTER","421 N MAIN ST","LEEDS","MA","01053","HAMPSHIRE","4135844040","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"22010F","VA BOSTON HEALTHCARE SYSTEM - JAMAICA PLAIN","150 S. HUNTINGTON AVENUE","JAMAICA PLAIN","MA","02130","SUFFOLK","6172329500","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"23005F","IRON MOUNTAIN MI VA MEDICAL CENTER","325 EAST H STREET","IRON MOUNTAIN","MI","49801","DICKINSON","9067743300","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"23009F","SAGINAW VA MEDICAL CENTER","1500 WEISS STREET","SAGINAW","MI","48602","SAGINAW","9894972500","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"23011F","VA ANN ARBOR HEALTHCARE SYSTEM","2215 FULLER ROAD","ANN ARBOR","MI","48105","WASHTENAW","7347697100","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"23012F","BATTLE CREEK VA MEDICAL CENTER","5500 ARMSTRONG RD.","BATTLE CREEK","MI","49037","CALHOUN","2699665600","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"06005F","VA EASTERN COLORADO HEALTHCARE SYSTEM","1055 CLERMONT STREET","DENVER","CO","80220","DENVER","3033932800","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"24002F","ST CLOUD VA MEDICAL CENTER","4801 VETERANS DRIVE","ST. CLOUD","MN","56303","STEARNS","3202521670","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"24003F","MINNEAPOLIS VA MEDICAL CENTER","ONE VETERANS DRIVE","MINNEAPOLIS","MN","55417","HENNEPIN","6127252000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"25042F","VA GULF COAST HEALTHCARE SYSTEM","400 VETERANS AVENUE","BILOXI","MS","39531","HARRISON","2285235000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"25043F","G. V. (SONNY) MONTGOMERY VA MEDICAL CENTER (JACKSON)","1500 E. WOODROW WILSON DRIVE","JACKSON","MS","39216","HINDS","6013624471","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"05130F","SAN FRANCISCO VA MEDICAL CENTER","4150 CLEMENT STREET","SAN FRANCISCO","CA","94121","SAN FRANCISCO","4152214810","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"26007F","POPLAR BLUFF VA MEDICAL CENTER","1500 N. WESTWOOD BLVD.","POPLAR BLUFF","MO","63901","BUTLER","5736864151","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"26009F","ST LOUIS-JOHN COCHRAN VA MEDICAL CENTER","915 NORTH GRAND","ST. LOUIS","MO","63106","SAINT LOUIS CITY","3146524100","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"26023F","COLUMBIA MO VA MEDICAL CENTER","800 HOSPITAL DR","COLUMBIA","MO","65201","BOONE","5738146000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"27003F","VA MONTANA HEALTHCARE SYSTEM","3687 VETERANS DRIVE","FORT HARRISON","MT","59636","LEWIS AND CLARK","4064477900","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"28006F","OMAHA VA MEDICAL CENTER (VA NEBRASKA WESTERN IOWA HEALTHCARE SYSTEM)","4101 WOOLWORTH AVENUE","OMAHA","NE","68105","DOUGLAS","4023468800","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"05128F","VA GREATER LOS ANGELES HEALTHCARE SYSTEM","11301 WILSHIRE BLVD.","LOS ANGELES","CA","90073","LOS ANGELES","3104783711","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"29004F","VA SOUTHERN NEVADA HEALTHCARE SYSTEM","6900 NORTH PECOS ROAD","N. LAS VEGAS","NV","89086","CLARK","7027919024","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"31001F","VA NEW JERSEY HEALTH CARE SYSTEM","385 TREMONT AVENUE","EAST ORANGE","NJ","07018","ESSEX","9736761000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"32005F","VA NEW MEXICO HEALTHCARE SYSTEM","1501 SAN PEDRO DRIVE SE","ALBUQUERQUE","NM","87108","BERNALILLO","5052562889","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"33009F","ALBANY VA MEDICAL CENTER","113 HOLLAND AVENUE","ALBANY","NY","12208","ALBANY","5186265000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"33011F","BATH VA MEDICAL CENTER","76 VETERANS AVE.","BATH","NY","14810","STEUBEN","6076644000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"33012F","UPSTATE NEW YORK VA HEALTHCARE SYSTEM (WESTERN NY VA HEALTHCARE SYSTEM)","3495 BAILEY AVENUE","BUFFALO","NY","14215","ERIE","7168623611","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"33014F","VA HUDSON VALLEY HEALTHCARE SYSTEM - CASTLE POINT","41 CASTLE POINT ROAD","WAPPINGERS FALLS","NY","12590","DUTCHESS","8458312000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"33015F","VA HUDSON VALLEY HEALTHCARE SYSTEM","2094 ALBANY POST ROAD","MONTROSE","NY","10548","WESTCHESTER","9147374400","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"33016F","BRONX VA MEDICAL CENTER","130 WEST KINGSBRIDGE ROAD","BRONX","NY","10468","BRONX","7185849000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"33017F","VA NEW YORK HARBOR HEALTHCARE SYSTEM - NY DIV.","423 EAST 23RD STREET","NEW YORK","NY","10010","NEW YORK","2126867500","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"33019F","NORTHPORT VA MEDICAL CENTER","79 MIDDLEVILLE ROAD","NORTHPORT","NY","11768","SUFFOLK","5162614400","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"33020F","VA NEW YORK HARBOR HEALTHCARE SYSTEM - BROOKLYN","800 POLY PLACE","BROOKLYN","NY","11209","KINGS","7188366600","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"33024F","SYRACUSE VA MEDICAL CENTER","800 IRVING AVE.","SYRACUSE","NY","13210","ONONDAGA","3154254400","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"34012F","DURHAM VA MEDICAL CENTER","508 FULTON STREET","DURHAM","NC","27705","DURHAM","9192860411","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"34013F","FAYETTEVILLE NC VA MEDICAL CENTER","2300 RAMSEY STREET","FAYETTEVILLE","NC","28301","CUMBERLAND","9104882120","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"34017F","W.G. (BILL) HEFNER SALISBURY VA MEDICAL CENTER (SALSBURY)","1601 BRENNER AVENUE","SALISBURY","NC","28144","ROWAN","7046389000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"34036F","ASHEVILLE-OTEEN VA MEDICAL CENTER","1100 TUNNEL ROAD","ASHEVILLE","NC","28805","BUNCOMBE","8282987911","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"35002F","FARGO VA MEDICAL CENTER","2101 ELM STREET","FARGO","ND","58102","CASS","7012323241","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"05127F","LOMA LINDA VA MEDICAL CENTER","11201 BENTON STREET","LOMA LINDA","CA","92357","SAN BERNARDINO","9098257084","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"36003F","CINCINNATI VA MEDICAL CENTER","3200 VINE STREET","CINCINNATI","OH","45220","HAMILTON","5138613100","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"36007F","DAYTON VA MEDICAL CENTER","4100 WEST THIRD STREET","DAYTON","OH","45428","MONTGOMERY","9372686511","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"36008F","CHILLICOTHE VA MEDICAL CENTER","17273 STATE ROUTE 104","CHILLICOTHE","OH","45601","ROSS","7407731141","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"37012F","MUSKOGEE VA MEDICAL CENTER","1011 HONOR HEIGHTS DRIVE","MUSKOGEE","OK","74401","MUSKOGEE","9185773000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"37014F","OKLAHOMA CITY VA MEDICAL CENTER","921 NE 13TH STREET","OKLAHOMA CITY","OK","73104","OKLAHOMA","4052700501","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"05114F","VA SAN DIEGO HEALTHCARE SYSTEM","3350 LA JOLLA VILLAGE DRIVE","SAN DIEGO","CA","92161","SAN DIEGO","8585528585","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"38004F","VA ROSEBURG HEALTHCARE SYSTEM","913 NW GARDEN VALLEY BLVD.","ROSEBURG","OR","97471","DOUGLAS","5414401000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"39001F","JAMES E. VAN ZANDT VA MEDICAL CENTER (ALTOONA)","2907 PLEASANT VALLEY BOULEVARD","ALTOONA","PA","16602","BLAIR","8149438164","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"39004F","COATESVILLE VA MEDICAL CENTER","1400 BLACK HORSE HILL ROAD","COATESVILLE","PA","19320","CHESTER","6103847711","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"39005F","ERIE VA MEDICAL CENTER","135 EAST 38TH STREET","ERIE","PA","16504","ERIE","8148602576","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"39006F","LEBANON VA MEDICAL CENTER","1700 SOUTH LINCOLN AVENUE","LEBANON","PA","17042","LEBANON","7172285901","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"39009F","PHILADELPHIA VA MEDICAL CENTER","3900 WOODLAND AVENUE","PHILADELPHIA","PA","19104","PHILADELPHIA","2158235857","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"39012F","VA PITTSBURGH HEALTHCARE SYSTEM - UNIV DR","UNIVERSITY DRIVE","PITTSBURGH","PA","15240","ALLEGHENY","4126886100","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"39013F","WILKES BARRE VA MEDICAL CENTER","1111 EAST END BOULEVARD","WILKES-BARRE","PA","18711","LUZERNE","5708243521","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"13003F","BOISE VA MEDICAL CENTER","500 W. FORT STREET","BOISE","ID","83702","ADA","2084221000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"41005F","PROVIDENCE VA MEDICAL CENTER","830 CHALKSTONE AVENUE","PROVIDENCE","RI","02908","PROVIDENCE","4014573042","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"42011F","COLUMBIA SC VA MEDICAL CENTER","6439 GARNERS FERRY ROAD","COLUMBIA","SC","29209","RICHLAND","8036957980","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"42029F","CHARLESTON VA MEDICAL CENTER","109 BEE STREET","CHARLESTON","SC","29401","CHARLESTON","8435775011","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"43002F","VA BLACK HILLS HEALTHCARE SYSTEM - FORT MEADE","113 COMANCHE ROAD","FORT MEADE","SD","57741","MEADE","6053472511","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"43003F","VA BLACK HILLS HEALTHCARE SYSTEM - HOT SPRINGS","500 NORTH 5TH STREET","HOT SPRINGS","SD","57747","FALL RIVER","6057452000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"43005F","SIOUX FALLS VA MEDICAL CENTER","2501 WEST 22ND STREET","SIOUX FALLS","SD","57117","MINNEHAHA","6053363230","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"44013F","MEMPHIS VA MEDICAL CENTER","1030 JEFFERSON AVENUE","MEMPHIS","TN","38104","SHELBY","9015777200","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"44016F","MOUNTAIN HOME VA MEDICAL CENTER","CORNER OF LAMONT STREET AND VETERANS WAY","MOUNTAIN HOME","TN","37684","WASHINGTON","4239261171","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
"44017F","VA MIDDLE TENNESSEE HEALTHCARE SYSTEM - MURFREESBORO","3400 LEBANON PIKE","MURFREESBORO","TN","37129","RUTHERFORD","6158676000","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","No","Not Available","Star ratings are not calculated for VHA hospitals"
"44018F","VA MIDDLE TENNESSEE HEALTHCARE SYSTEM","1310 24TH AVENUE SOUTH","NASHVILLE","TN","37212","DAVIDSON","6153275332","ACUTE CARE - VETERANS ADMINISTRATION","Government - Federal","Yes","Not Available","Star ratings are not calculated for VHA hospitals"
