"State","Measure Name","Measure ID","Number of Hospitals Worse","Number of Hospitals Same","Number of Hospitals Better","Number of Hospitals Too Few","Footnote","Measure Start Date","Measure End Date"
"OK","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","4","100","1","12","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"OR","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","55","0","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","8","133","11","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"PR","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","5","25","0","18","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"RI","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","8","2","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SC","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","5","55","1","1","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"SD","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","42","1","12","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TN","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","16","84","2","13","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"TX","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","14","275","24","66","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"UT","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","38","0","4","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","6","70","2","6","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VI","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","2","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"VT","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","14","0","0","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WA","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","8","69","2","9","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WI","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","4","107","6","3","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WV","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","1","44","2","2","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"WY","Pneumonia (PN) 30-Day Mortality Rate","MORT_30_PN","0","22","0","5","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
"AK","Death rate for chronic obstructive pulmonary disease (COPD) patients","MORT_30_COPD","0","11","0","12","20 - State and national averages do not include VHA hospital data.","07/01/2013","06/30/2016"
