"State","Measure Name","Measure ID","Score","Footnote","Measure Start Date","Measure End Date"
"FL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"GA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"GU","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"HI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ID","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IL","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"KS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"KY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"LA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MD","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ME","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MO","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MP","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MS","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ND","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NE","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NH","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NJ","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NM","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NV","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"OH","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"OK","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"OR","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"PA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"PR","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"RI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"SC","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"SD","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"TN","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"TX","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"UT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"VA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"VI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"VT","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"WA","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"WI","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"WV","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"WY","Central line-associated bloodstream infections (CLABSI) in ICUs and select wards","HAI_1_SIR","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AK","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AZ","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"CA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"CO","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"CT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"DC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"DE","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"FL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"GA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"GU","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"HI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ID","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IL","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"KS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"KY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"LA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MD","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ME","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MO","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MP","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MS","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ND","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NE","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NH","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NJ","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NM","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NV","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"NY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"OH","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"OK","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"OR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"PA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"PR","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"RI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"SC","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"SD","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"TN","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"TX","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"UT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"VA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"VI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"VT","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"WA","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"WI","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"WV","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"WY","CLABSI: Upper Confidence Limit","HAI_1_CI_UPPER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AK","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AR","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"AZ","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"CA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"CO","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"CT","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"DC","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"DE","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"FL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"GA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"GU","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"HI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ID","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IL","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"IN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"KS","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"KY","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"LA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MA","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MD","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"ME","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MI","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
"MN","CLABSI: Lower Confidence Limit","HAI_1_CI_LOWER","Not Available","4 - Data suppressed by CMS for one or more quarters., 20 - State and national averages do not include VHA hospital data.","10/01/2015","09/30/2016"
